@RELATION POSIT

@attribute classification {Anti-extremist, Pro-extremist, neutral}
@attribute number_of_exclam numeric
@attribute number_of_dollar numeric
@attribute number_of_ast numeric
@attribute number_of_dot numeric
@attribute number_of_0 numeric
@attribute number_of_1 numeric
@attribute number_of_2 numeric
@attribute number_of_3 numeric
@attribute number_of_4 numeric
@attribute number_of_5 numeric
@attribute number_of_6 numeric
@attribute number_of_7 numeric
@attribute number_of_8 numeric
@attribute number_of_9 numeric
@attribute number_of_quest numeric
@attribute number_of_a numeric
@attribute number_of_b numeric
@attribute number_of_c numeric
@attribute number_of_d numeric
@attribute number_of_e numeric
@attribute number_of_f numeric
@attribute number_of_g numeric
@attribute number_of_h numeric
@attribute number_of_i numeric
@attribute number_of_j numeric
@attribute number_of_k numeric
@attribute number_of_l numeric
@attribute number_of_m numeric
@attribute number_of_n numeric
@attribute number_of_o numeric
@attribute number_of_p numeric
@attribute number_of_q numeric
@attribute number_of_r numeric
@attribute number_of_s numeric
@attribute number_of_t numeric
@attribute number_of_u numeric
@attribute number_of_v numeric
@attribute number_of_w numeric
@attribute number_of_x numeric
@attribute number_of_y numeric
@attribute number_of_z numeric
@attribute total_unique_chars numeric
@attribute total_chars numeric
@attribute specials numeric
@attribute total_words numeric
@attribute total_unique_words numeric
@attribute ttr numeric
@attribute number_of_sentences numeric
@attribute asl numeric
@attribute number_of_chars numeric
@attribute awl numeric
@attribute noun_types numeric
@attribute verb_types numeric
@attribute adjective_types numeric
@attribute preposition_types numeric
@attribute possessive_types numeric
@attribute personal_types numeric
@attribute determiner_types numeric
@attribute adverb_types numeric
@attribute particle_types numeric
@attribute interjection_types numeric
@attribute verbs numeric
@attribute nouns numeric
@attribute preposition numeric
@attribute possessive numeric
@attribute personal numeric
@attribute particles numeric
@attribute interjections numeric
@attribute determiners numeric
@attribute adverbs numeric
@attribute adjectives numeric

@data
Anti-extremist,190,1,144,141,22,23,67,31,45,48,28,28,50,68,42,1165,214,437,478,1548,267,305,603,1118,41,115,678,446,1002,1085,346,18,904,937,1261,432,161,294,15,313,18,22707,41,5,3087,1314,0.425656,132,23.3864,22696,7.35212,215,84,36,17,14,14,7,24,3,0,274,710,112,126,126,6,0,108,84,104
Anti-extremist,0,0,211,104,180,136,23,38,65,5,34,34,50,85,39,646,152,207,256,926,170,183,259,591,64,80,320,327,593,715,227,39,585,603,714,287,91,133,22,173,13,15306,39,3,1792,775,0.432478,84,21.3333,15281,8.52734,174,87,23,16,14,14,9,20,4,0,300,740,118,114,114,8,0,104,80,86
Anti-extremist,0,0,149,106,135,13,14,59,21,31,24,26,36,53,32,692,149,255,342,854,150,168,264,632,38,80,325,316,641,715,189,18,565,597,733,311,83,177,5,202,17,14372,39,3,1777,825,0.464266,89,19.9663,14364,8.08329,194,86,26,23,12,12,5,27,1,0,302,632,146,184,184,4,0,88,126,82
Anti-extremist,0,0,161,10,161,24,68,31,50,34,6,49,78,109,36,459,116,193,192,690,120,112,153,458,36,44,228,237,443,490,160,18,395,445,482,203,75,85,3,91,11,11499,39,3,1199,624,0.520434,25,47.96,11469,9.56547,296,29,17,12,7,7,5,14,1,0,104,1110,100,24,24,2,0,68,42,44
Anti-extremist,0,150,137,54,26,4,4,4,40,25,15,23,36,46,35,496,107,182,242,687,157,140,206,539,20,69,276,231,449,569,162,20,461,539,597,267,94,119,3,113,15,11815,40,4,1392,664,0.477011,31,44.9032,11803,8.47917,237,58,28,13,13,13,6,17,2,0,240,872,174,72,72,4,0,112,68,112
Anti-extremist,0,0,168,173,118,3,34,37,35,47,36,72,49,59,61,493,108,173,210,590,120,115,145,441,43,65,258,234,385,524,167,15,432,451,515,235,87,94,4,85,29,11867,39,3,1261,699,0.554322,29,43.4828,11856,9.40206,301,32,10,11,7,7,5,6,0,0,132,1022,64,36,36,0,0,44,24,22
Anti-extremist,0,0,147,164,77,20,37,4,34,23,32,38,47,9,36,477,109,199,205,638,131,101,119,449,20,45,281,216,435,494,169,49,434,512,517,265,61,57,16,82,12,11040,39,3,1242,682,0.549114,32,38.8125,10984,8.8438,352,39,25,13,4,4,3,5,0,0,144,1122,70,16,16,0,0,32,22,68
Anti-extremist,0,0,148,164,76,21,37,4,34,22,31,39,46,9,37,477,109,199,205,638,131,101,119,449,20,45,281,216,435,494,169,49,434,512,517,265,61,57,16,82,12,11040,39,3,1242,682,0.549114,32,38.8125,10984,8.8438,352,39,25,13,4,4,3,5,0,0,144,1122,70,16,16,0,0,32,22,68
Anti-extremist,0,0,183,181,77,3,40,41,16,6,29,73,45,54,46,701,151,247,308,915,205,280,324,654,29,90,312,326,622,801,232,23,602,607,800,315,110,133,11,190,11,15511,39,3,1942,734,0.377961,68,28.5588,15503,7.98301,143,64,19,16,17,17,9,23,2,0,284,632,184,178,178,16,0,114,100,64
Anti-extremist,201,100,187,82,38,4,59,81,6,65,95,8,8,71,56,831,175,377,423,1130,280,195,359,846,49,84,435,365,738,907,273,21,821,782,901,330,127,196,14,171,18,18258,41,5,2230,1098,0.492377,56,39.8214,18247,8.18251,300,55,24,19,5,5,6,10,0,0,154,976,170,20,20,0,0,74,30,68
Anti-extremist,0,0,178,216,135,84,53,61,5,69,67,53,58,9,101,1181,244,462,470,1869,325,331,604,1233,29,118,663,440,1092,1320,382,37,1082,1121,1445,427,154,195,15,263,26,24239,39,3,3181,1167,0.366866,117,27.188,24231,7.61742,228,67,35,29,13,13,13,25,0,0,212,654,206,58,58,0,0,132,68,134
Anti-extremist,0,181,151,12,2,67,42,34,28,35,43,53,9,91,45,674,144,261,343,926,207,173,309,700,26,81,407,322,631,778,245,20,628,674,843,275,81,150,9,153,20,15926,40,4,1877,876,0.466702,57,32.9298,15918,8.48055,224,77,37,23,13,13,8,16,1,0,228,806,162,70,70,4,0,138,60,100
Anti-extremist,0,0,142,146,192,49,25,3,30,24,21,31,52,52,49,1452,323,520,712,2371,444,452,861,1550,36,176,931,566,1382,1688,455,48,1179,1289,1865,691,245,385,28,488,25,29157,39,3,4370,1455,0.332952,186,23.4946,29149,6.67025,194,92,43,20,12,12,9,31,2,0,310,562,192,116,116,8,0,100,106,120
Anti-extremist,0,151,135,54,26,4,4,4,40,25,16,23,36,46,35,496,107,182,242,687,157,140,206,539,20,69,276,231,449,569,162,20,461,539,597,267,94,119,3,113,15,11815,40,4,1392,664,0.477011,31,44.9032,11803,8.47917,237,58,28,13,13,13,6,17,2,0,240,872,174,72,72,4,0,112,68,112
Anti-extremist,0,0,139,122,38,3,15,20,44,17,21,7,33,42,33,425,86,182,214,586,128,125,168,436,10,51,231,197,418,530,152,22,399,467,496,224,69,82,2,100,12,9899,39,3,1124,635,0.564947,41,27.4146,9890,8.79893,365,64,28,18,8,8,9,13,0,0,200,1058,132,68,68,0,0,88,50,64
Anti-extremist,0,0,139,123,38,3,13,19,43,13,20,7,34,43,33,425,86,182,214,586,128,125,167,436,10,51,231,197,418,530,150,22,399,467,496,224,69,82,2,100,12,9885,39,3,1121,632,0.563782,41,27.3415,9876,8.80999,365,64,28,18,8,8,9,13,0,0,200,1058,132,68,68,0,0,88,50,64
Anti-extremist,0,0,142,124,45,3,30,20,4,23,17,18,35,44,31,379,82,168,165,472,101,94,146,386,17,37,188,184,377,425,110,17,345,401,432,169,58,63,3,68,14,8935,39,3,926,586,0.632829,19,48.7368,8927,9.64039,362,24,22,15,5,5,4,9,0,0,74,1028,98,18,18,0,0,54,24,54
Anti-extremist,0,0,182,11,159,28,80,41,55,22,35,69,59,80,42,593,167,233,309,862,181,161,268,619,26,70,397,310,561,711,207,23,566,580,690,274,75,147,14,129,36,14922,39,3,1764,772,0.437642,75,23.52,14914,8.45465,181,62,21,14,10,10,8,28,2,0,244,730,122,110,110,20,0,86,122,72
Anti-extremist,0,0,169,171,118,3,34,37,36,47,37,71,50,60,59,493,108,173,210,590,120,115,145,441,43,65,258,234,385,524,167,15,432,451,515,235,87,94,4,85,29,11867,39,3,1261,699,0.554322,29,43.4828,11856,9.40206,301,32,10,11,7,7,5,6,0,0,132,1022,64,36,36,0,0,44,24,22
Anti-extremist,0,0,148,130,12,53,24,4,33,23,28,69,47,64,64,734,144,261,335,973,227,189,311,703,14,63,421,287,646,748,184,23,631,695,804,303,96,159,10,162,12,14577,39,3,1850,964,0.521081,67,27.6119,14569,7.87514,239,82,54,27,8,8,10,37,1,0,290,646,198,80,80,2,0,158,108,168
Anti-extremist,0,231,187,24,29,91,3,48,358,62,31,48,55,77,45,2447,520,928,1079,3697,682,610,1457,2360,112,238,1279,896,2132,2721,747,51,2044,2115,2970,897,362,696,38,572,39,45146,40,4,6830,1916,0.280527,309,22.1036,45138,6.60878,185,102,57,22,11,11,10,33,1,0,322,512,180,76,76,2,0,132,104,128
Anti-extremist,0,0,154,193,52,29,3,25,4,31,13,24,41,45,43,458,85,168,186,544,108,124,148,437,13,48,246,212,390,447,155,16,369,439,479,177,68,73,6,84,11,10284,39,3,1125,613,0.544889,25,45,10276,9.13422,326,37,16,13,7,7,4,16,0,0,128,1078,90,48,48,0,0,52,62,46
Anti-extremist,0,0,138,153,50,3,53,41,23,5,16,27,38,50,43,368,70,135,182,481,100,98,138,351,9,38,206,177,334,394,111,15,346,383,403,162,55,62,2,72,11,8941,39,3,949,568,0.598525,26,36.5,8933,9.41307,353,28,13,15,6,6,5,8,2,0,90,1032,84,38,38,6,0,42,30,30
Anti-extremist,0,0,143,195,23,58,45,4,114,5,35,24,46,48,43,385,74,157,174,470,92,92,123,356,11,45,192,197,357,423,120,16,339,397,405,165,48,65,3,90,11,9134,39,3,984,577,0.586382,22,44.7273,9126,9.27439,332,24,15,13,5,5,3,7,0,0,88,1004,86,28,28,0,0,26,24,44
Anti-extremist,201,100,187,83,38,4,59,81,6,65,96,8,8,71,54,831,175,377,423,1130,280,195,359,846,49,84,435,365,738,907,273,21,821,782,901,330,127,196,14,171,18,18258,41,5,2230,1097,0.491928,56,39.8214,18247,8.18251,300,55,24,19,5,5,6,10,0,0,154,976,170,20,20,0,0,74,30,68
Anti-extremist,0,144,154,264,83,30,111,29,5,24,23,42,8,60,37,409,82,163,192,482,96,103,113,422,8,37,217,207,349,432,127,23,345,382,398,177,52,50,2,56,21,9640,40,4,1032,610,0.591085,22,46.9091,9625,9.32655,361,22,8,11,3,3,3,5,0,0,72,1136,60,14,14,0,0,26,18,22
Anti-extremist,0,0,172,161,90,51,39,38,5,19,6,24,41,48,49,462,98,182,246,692,127,123,179,475,24,66,233,240,425,511,182,20,472,479,516,209,68,113,4,95,12,11620,39,3,1305,692,0.530268,26,50.1923,11612,8.89808,296,57,20,14,9,9,6,13,3,0,180,996,94,78,78,8,0,60,50,50
Anti-extremist,0,624,10,126,359,202,215,74,57,5,101,41,67,77,69,777,241,359,383,1186,263,222,347,858,36,120,409,374,854,914,249,19,817,783,931,388,126,184,22,172,27,20716,40,4,2464,1052,0.426948,65,37.9077,20708,8.40422,234,53,28,19,12,12,6,19,0,0,134,692,98,64,64,0,0,50,44,60
Anti-extremist,0,180,144,12,140,16,58,19,29,23,26,59,8,53,49,1683,332,670,662,2519,422,410,915,1653,26,119,1090,656,1529,1788,540,32,1398,1534,2028,806,271,467,22,405,31,31125,40,4,4422,1567,0.354365,125,35.376,31117,7.03686,238,95,42,20,11,11,9,36,3,1,276,688,206,74,74,8,2,154,108,102
Anti-extremist,0,2086,1048,771,272,4,575,466,305,569,127,187,189,9,214,1201,257,600,513,1900,364,374,495,1184,55,169,670,595,1128,1616,692,25,1448,1086,1381,811,161,318,31,293,36,38001,40,4,4293,1270,0.29583,103,41.6796,37992,8.84976,215,94,38,25,11,11,10,30,3,0,268,664,172,140,140,6,0,98,90,94
Anti-extremist,0,2087,1048,771,273,4,575,466,307,570,127,186,192,9,213,1201,257,600,513,1900,364,374,496,1184,55,169,670,595,1128,1616,694,25,1448,1086,1381,811,161,318,31,293,36,38015,40,4,4296,1273,0.296322,103,41.7087,38006,8.84683,215,94,38,25,11,11,10,30,3,0,268,664,172,140,140,6,0,98,90,94
Anti-extremist,0,2087,1048,772,273,4,575,466,307,570,126,186,191,9,214,1201,257,600,513,1900,364,374,496,1184,55,169,670,595,1128,1616,694,25,1448,1086,1381,811,161,318,31,293,36,38015,40,4,4296,1273,0.296322,103,41.7087,38006,8.84683,215,94,38,25,11,11,10,30,3,0,268,664,172,140,140,6,0,98,90,94
Anti-extremist,0,2088,1048,769,272,4,574,466,305,566,128,187,189,9,214,1194,256,590,510,1896,364,371,491,1184,55,169,669,593,1122,1607,691,25,1446,1076,1376,809,159,316,31,291,36,37882,40,4,4282,1268,0.296123,102,41.9804,37873,8.8447,213,93,38,25,11,11,10,30,3,0,266,640,172,140,140,6,0,100,90,94
Anti-extremist,896,696,17,183,524,290,120,70,5,130,6,64,63,87,78,941,243,464,424,1297,268,299,389,911,58,106,472,431,893,1173,441,23,1061,891,1045,531,149,227,14,227,21,25650,41,5,2912,1180,0.40522,83,35.0843,25642,8.80563,218,12,6,10,1,1,5,3,0,0,26,844,44,2,2,0,0,16,6,16
Anti-extremist,0,2192,11,1455,12,765,318,134,475,311,570,93,217,214,279,1276,346,592,529,1763,346,403,499,1079,80,176,630,579,1154,1594,658,20,1502,1196,1386,710,210,274,24,303,30,36221,40,4,4283,1349,0.314966,85,50.3882,36211,8.45459,238,48,22,21,6,6,7,17,0,0,124,814,76,46,46,0,0,50,40,48
Anti-extremist,0,0,211,104,181,136,23,38,64,5,34,34,49,84,41,646,152,207,256,926,170,183,259,591,64,80,320,327,593,715,227,39,585,603,714,287,91,133,22,173,13,15306,39,3,1792,775,0.432478,84,21.3333,15281,8.52734,174,87,23,16,14,14,9,20,4,0,300,740,118,114,114,8,0,104,80,86
Anti-extremist,0,0,149,163,76,20,37,4,34,22,30,38,47,9,39,477,109,199,205,638,131,101,119,449,20,45,281,216,435,494,169,49,434,512,517,265,61,57,16,82,12,11040,39,3,1242,682,0.549114,32,38.8125,10984,8.8438,352,39,25,13,4,4,3,5,0,0,144,1122,70,16,16,0,0,32,22,68
Anti-extremist,0,146,132,132,93,21,4,4,42,31,31,53,42,67,36,429,84,170,215,532,105,107,150,430,10,43,231,207,373,482,154,20,386,407,414,173,53,70,3,87,17,10230,40,4,1088,631,0.579963,24,45.3333,10217,9.39062,378,25,8,11,4,4,3,6,0,0,68,1194,82,14,14,0,0,40,26,16
Anti-extremist,0,14730,16,7421,7910,3087,3504,3768,1732,2823,737,773,8,824,686,4411,1002,2554,1625,5738,1073,1844,1815,3742,302,739,2069,2255,3989,6017,3194,63,6152,3789,4537,3258,425,990,86,803,147,173543,40,4,17679,2523,0.142712,174,101.603,173531,9.81566,174,45,19,15,8,8,6,11,0,0,112,800,68,54,54,0,0,36,28,40
Anti-extremist,0,14731,16,7421,7909,3084,3504,3768,1732,2824,737,775,8,824,686,4411,1002,2554,1625,5738,1073,1844,1815,3742,302,739,2069,2255,3989,6017,3194,63,6152,3789,4537,3258,425,990,86,803,147,173543,40,4,17679,2523,0.142712,174,101.603,173531,9.81566,174,45,19,15,8,8,6,11,0,0,112,800,68,54,54,0,0,36,28,40
Anti-extremist,0,0,160,159,14,61,22,4,34,20,27,45,76,56,45,555,135,213,229,641,123,105,136,463,22,48,259,278,394,515,167,32,444,454,461,232,63,73,3,79,27,11744,39,3,1299,702,0.540416,42,30.9286,11701,9.0077,295,36,12,13,5,5,4,5,1,0,118,1116,76,20,20,2,0,48,22,30
Anti-extremist,0,0,169,175,16,66,40,4,53,20,29,39,57,33,95,723,156,277,356,1036,244,169,347,792,34,79,373,359,733,898,266,23,709,715,987,303,130,166,9,143,16,16819,39,3,2085,905,0.434053,73,28.5616,16811,8.06283,208,83,30,19,14,14,9,28,3,0,234,750,174,88,88,6,0,146,86,70
Anti-extremist,0,0,178,216,135,84,53,61,5,69,66,52,60,9,101,1181,244,462,470,1869,325,331,604,1233,29,118,663,440,1092,1320,382,37,1082,1121,1445,427,154,195,15,263,26,24239,39,3,3181,1166,0.366551,117,27.188,24231,7.61742,228,67,35,29,13,13,13,25,0,0,212,654,206,58,58,0,0,132,68,134
Anti-extremist,0,157,157,61,3,33,4,48,5,19,56,28,44,48,42,742,174,313,353,1068,231,180,391,774,13,91,399,314,642,751,232,17,741,700,879,313,114,187,4,149,15,15651,40,4,1951,981,0.502819,48,40.6458,15640,8.0164,268,97,57,19,16,16,10,19,0,0,258,742,154,104,104,0,0,90,50,162
Anti-extremist,0,140,129,48,3,29,38,22,5,15,22,63,35,45,32,398,72,168,175,506,106,107,161,384,9,43,214,200,354,410,130,13,359,404,473,166,57,73,3,69,14,9200,40,4,1004,622,0.619522,28,35.8571,9192,9.15538,380,40,13,14,8,8,4,10,3,0,114,1072,98,38,38,6,0,46,36,26
Anti-extremist,0,0,434,463,103,31,33,40,4,61,60,58,125,179,96,385,64,138,164,422,90,90,114,361,9,46,179,184,336,394,106,16,358,411,402,183,47,55,2,68,17,11196,39,3,991,573,0.578204,35,28.3143,10906,11.005,280,20,8,9,4,4,5,6,1,0,120,846,60,16,16,8,0,26,24,24
Anti-extremist,0,0,141,141,18,58,3,23,30,22,6,23,38,44,33,370,64,138,162,415,86,94,115,346,7,45,176,172,326,366,110,17,324,383,405,151,46,55,2,62,13,8273,39,3,859,535,0.622817,18,47.7222,8265,9.62165,331,18,7,12,2,2,4,6,0,0,60,948,66,10,10,0,0,28,22,14
Anti-extremist,0,0,184,179,77,3,40,41,17,6,28,73,45,55,46,701,151,247,308,915,205,280,324,654,29,90,312,326,622,801,232,23,602,607,800,315,110,133,11,190,11,15511,39,3,1942,734,0.377961,68,28.5588,15503,7.98301,143,64,19,16,17,17,9,23,2,0,284,632,184,178,178,16,0,114,100,64
Anti-extremist,0,0,150,147,57,28,43,5,22,26,65,36,48,9,38,561,119,200,243,737,141,125,228,515,20,52,297,275,466,541,158,17,463,518,567,207,76,117,15,127,13,12095,39,3,1417,694,0.489767,46,30.8043,12084,8.52788,207,61,23,15,15,15,6,21,1,1,234,756,176,160,160,6,2,68,92,88
Anti-extremist,0,169,150,19,69,27,4,35,52,25,528,26,36,77,41,581,116,243,274,751,163,125,160,588,15,49,291,276,485,625,195,24,524,524,530,283,82,72,5,93,34,13298,40,4,1469,722,0.491491,36,40.8056,13277,9.03812,233,34,13,11,7,7,6,10,0,0,110,1032,72,50,50,0,0,42,22,54
Anti-extremist,0,0,240,198,129,16,120,49,62,37,58,25,39,85,43,964,193,352,524,1373,247,253,470,843,30,125,517,438,845,1078,262,23,799,813,1065,416,139,235,26,243,15,20444,39,3,2778,1026,0.36933,126,22.0476,20436,7.35637,183,74,18,22,12,12,8,30,3,0,222,804,134,72,72,6,0,70,110,48
Anti-extremist,0,179,1,202,164,26,94,32,4,48,18,24,41,47,50,1220,260,400,565,1700,272,303,689,1161,46,121,611,512,1076,1246,310,29,927,1040,1275,483,151,369,23,311,11,23529,40,4,3445,1051,0.30508,173,19.9133,23521,6.82758,201,82,47,20,19,19,7,27,1,0,330,582,176,162,162,12,0,120,116,126
Anti-extremist,0,0,162,10,158,24,69,30,51,34,6,47,80,110,36,459,116,193,192,690,120,112,153,458,36,44,228,237,443,490,160,18,395,445,482,203,75,85,3,91,11,11499,39,3,1199,624,0.520434,25,47.96,11469,9.56547,296,29,17,12,7,7,5,14,1,0,104,1110,100,24,24,2,0,68,42,44
Anti-extremist,0,150,162,55,264,26,4,40,45,31,6,25,41,65,35,499,109,224,227,657,135,119,142,491,14,47,280,244,398,539,149,19,407,475,508,235,80,61,3,98,22,11684,40,4,1265,674,0.532806,28,45.1786,11668,9.22372,316,32,11,10,4,4,5,7,0,0,90,1132,82,22,22,0,0,58,20,28
Anti-extremist,0,0,153,138,13,13,57,29,33,16,26,64,45,53,32,671,155,252,301,931,219,203,314,690,25,66,375,299,643,721,197,16,608,666,746,284,96,158,11,146,12,14291,39,3,1786,948,0.530795,67,26.6567,14283,7.9972,271,78,47,20,13,13,10,22,1,0,224,764,170,90,90,2,0,126,48,112
Anti-extremist,0,0,151,11,136,57,25,28,23,31,66,41,8,48,33,655,149,241,288,937,201,189,318,662,18,73,345,297,593,709,180,16,610,650,743,269,98,153,11,153,12,14006,39,3,1745,929,0.532378,61,28.6066,13998,8.02178,277,81,47,19,12,12,10,24,1,0,232,750,170,76,76,2,0,132,52,112
Anti-extremist,0,177,1,10,173,12,61,28,36,27,60,30,41,67,41,578,150,199,295,786,185,152,243,543,20,63,300,309,527,697,265,22,558,612,647,270,85,136,3,112,14,14153,40,4,1581,768,0.485769,48,32.9375,14145,8.94687,192,69,30,22,11,11,10,22,5,0,242,798,132,68,68,10,0,118,64,80
Anti-extremist,0,142,1,131,21,41,22,26,44,5,23,26,36,41,31,415,82,163,184,511,96,103,145,384,10,41,194,197,371,452,135,26,352,422,500,197,54,73,2,87,11,9683,40,4,1056,587,0.555871,37,28.5405,9675,9.16193,349,50,18,17,5,5,4,12,1,0,154,1086,120,50,50,4,0,66,48,46
Anti-extremist,0,0,165,10,100,151,71,35,35,22,6,22,45,51,39,783,182,286,364,1143,257,213,382,816,23,76,405,351,731,852,231,17,709,756,903,304,108,213,11,168,15,16853,39,3,2126,1021,0.480245,84,25.3095,16845,7.92333,227,90,24,21,17,17,8,21,4,0,262,740,162,118,118,8,0,112,52,62
Anti-extremist,0,0,166,10,100,151,71,35,34,20,6,22,46,52,39,783,182,286,364,1143,257,213,382,816,23,76,405,351,731,852,231,17,709,756,903,304,108,213,11,168,15,16853,39,3,2126,1021,0.480245,84,25.3095,16845,7.92333,227,90,24,21,17,17,8,21,4,0,262,740,162,118,118,8,0,112,52,62
Anti-extremist,0,0,145,135,54,33,37,5,5,17,24,63,37,47,36,650,132,218,265,818,142,153,283,611,22,66,307,306,568,656,207,23,496,649,684,263,85,155,13,147,17,13557,39,3,1637,825,0.503971,48,34.1042,13549,8.27673,215,77,40,19,12,12,10,35,3,0,240,738,158,78,78,8,0,124,110,134
Anti-extremist,0,0,162,107,153,20,71,29,28,43,15,23,42,48,42,1182,230,408,451,1721,276,313,658,1152,41,115,610,515,1176,1182,366,25,889,1081,1361,438,173,442,17,329,17,23356,39,3,3190,1102,0.345455,115,27.7391,23347,7.31881,164,96,38,18,12,12,8,39,3,0,390,540,132,146,146,14,0,74,166,146
Anti-extremist,0,0,124,120,35,3,3,19,19,47,10,17,35,42,31,410,80,164,182,519,100,116,164,379,14,46,200,195,356,441,129,14,358,429,477,186,54,94,4,72,13,9110,39,3,1015,609,0.6,33,30.7576,9102,8.96749,361,57,19,21,10,10,10,17,1,0,168,1028,126,66,66,2,0,64,58,46
Anti-extremist,0,0,148,10,135,21,50,22,32,29,18,63,38,47,34,698,131,221,309,961,181,215,322,650,14,54,397,298,652,772,175,18,605,608,750,289,103,184,7,161,15,14207,39,3,1829,845,0.462001,68,26.8971,14199,7.76326,193,81,44,22,14,14,8,25,1,0,320,578,176,134,134,2,0,110,118,142
Anti-extremist,0,0,177,101,158,80,30,36,22,6,22,7,39,56,44,706,162,254,362,1076,236,186,313,747,27,79,396,385,671,795,214,16,633,722,971,329,103,174,9,164,21,16769,39,3,2082,928,0.445725,86,24.2093,16760,8.04995,214,83,39,20,12,12,12,27,0,0,244,750,140,80,80,0,0,158,80,86
Anti-extremist,0,0,143,148,192,49,25,3,29,24,21,30,52,53,47,1452,323,520,712,2371,444,452,861,1550,36,176,931,566,1382,1688,455,48,1179,1289,1865,691,245,385,28,488,25,29157,39,3,4370,1456,0.333181,186,23.4946,29149,6.67025,194,92,43,20,12,12,9,31,2,0,310,562,192,116,116,8,0,100,106,120
Anti-extremist,0,0,146,10,136,56,23,26,16,21,67,7,38,44,33,670,151,243,292,962,218,186,345,666,17,66,362,286,608,707,181,16,622,655,763,264,96,161,13,138,13,14065,39,3,1736,938,0.540323,59,29.4237,14057,8.09735,275,85,48,19,12,12,10,25,2,0,238,762,180,84,84,4,0,140,54,116
Anti-extremist,0,0,2870,2999,21,464,218,268,52,275,430,65,1150,1340,469,475,129,178,204,531,103,93,117,462,48,86,242,233,363,506,158,18,402,441,448,197,82,61,2,83,34,29357,39,3,1639,610,0.372178,38,43.1316,29349,17.9067,65,4,0,3,0,0,1,1,0,0,8,178,8,0,0,0,0,2,2,0
Anti-extremist,154,11,151,12,61,22,4,36,44,17,22,7,37,49,32,495,85,192,237,659,165,134,192,466,11,60,265,221,432,525,152,13,437,483,540,259,71,114,6,108,21,11213,41,5,1314,709,0.539574,36,36.5,11205,8.5274,295,64,25,17,9,9,8,14,2,0,188,914,134,86,86,4,0,92,50,62
Anti-extremist,0,0,172,153,63,27,42,29,28,74,66,8,8,72,46,675,145,317,387,973,198,197,287,721,16,60,370,315,680,813,224,17,602,729,830,323,95,228,23,200,25,15684,39,3,1959,893,0.455845,57,34.3684,15676,8.00204,208,85,29,19,8,8,9,29,1,1,256,718,144,70,70,2,2,90,92,68
Anti-extremist,0,150,125,54,3,22,22,5,16,57,24,7,44,48,41,608,120,223,233,764,147,154,260,523,34,72,290,231,519,562,166,14,511,532,626,210,82,139,11,107,14,12059,40,4,1413,797,0.564048,32,44.1562,12051,8.52866,311,66,26,25,12,12,11,22,0,2,212,878,182,66,66,0,4,120,88,64
Anti-extremist,0,0,141,11,128,50,19,26,13,55,21,35,42,9,33,586,135,252,271,871,179,179,284,633,13,60,338,256,551,651,185,17,562,610,676,251,103,150,6,129,12,12956,39,3,1567,880,0.561583,51,30.7255,12948,8.26292,273,92,52,23,11,11,10,26,2,1,240,720,192,98,98,4,2,126,58,124
Anti-extremist,0,0,153,130,18,49,19,31,47,5,18,21,37,45,31,745,122,223,323,818,158,194,226,617,37,139,352,313,627,621,183,15,628,656,701,227,138,79,4,98,14,13820,39,3,1705,922,0.540762,55,31,13703,8.03695,296,84,38,21,11,11,7,6,5,0,222,974,90,38,38,10,0,60,18,86
Anti-extremist,0,0,159,147,12,22,52,21,27,52,23,24,39,45,33,602,132,239,266,786,178,146,280,617,36,64,301,274,546,614,172,16,572,589,686,244,87,150,15,125,17,13830,39,3,1566,769,0.49106,35,44.7429,13822,8.82631,201,64,23,18,15,15,10,18,0,1,182,810,170,90,90,0,2,132,46,78
Anti-extremist,0,0,120,113,19,30,3,3,15,17,10,17,34,42,29,346,66,141,165,434,92,99,116,326,8,35,166,169,330,375,100,14,327,353,389,160,50,54,4,69,12,8122,39,3,824,537,0.651699,16,51.5,8114,9.84709,354,32,11,12,8,8,3,5,0,0,80,980,76,38,38,0,0,36,16,22
Anti-extremist,0,0,161,129,58,31,4,34,20,55,6,25,40,52,39,542,132,207,267,682,140,125,210,545,41,72,281,224,479,567,151,16,468,525,582,206,96,106,9,124,35,11778,39,3,1366,768,0.562225,35,39.0286,11754,8.60469,294,59,36,15,11,11,7,15,1,0,200,944,166,42,42,2,0,116,46,88
Anti-extremist,0,0,139,132,51,21,42,25,5,5,22,21,34,45,33,382,88,167,185,564,123,100,158,390,13,51,234,213,377,465,127,14,396,411,461,195,65,89,2,82,12,9982,39,3,1063,611,0.574788,32,33.2188,9974,9.38288,371,42,14,15,11,11,6,12,0,1,124,1160,112,46,46,0,2,56,38,36
Anti-extremist,0,170,159,14,15,16,72,30,36,15,27,42,80,66,39,750,201,287,332,948,248,191,317,739,31,79,436,330,656,853,226,23,675,692,833,319,95,164,15,170,13,16551,40,4,2043,867,0.424376,53,38.5472,16543,8.09741,192,76,17,12,9,9,8,19,4,0,248,782,130,56,56,32,0,94,76,38
Anti-extremist,0,0,151,105,135,13,14,59,21,29,20,26,36,51,33,692,149,255,342,854,150,168,263,632,38,80,325,316,641,715,187,18,565,597,733,311,83,177,5,202,17,14358,39,3,1774,823,0.463923,89,19.9326,14350,8.08906,194,86,26,23,12,12,5,27,1,0,302,632,146,184,184,4,0,88,126,82
